iter	Logloss
0	0.6795691616
1	0.6674860031
2	0.6534330956
3	0.6405165206
4	0.6280446402
5	0.6172195032
6	0.6031550322
7	0.5924413576
8	0.5796038342
9	0.5712024627
10	0.5608472945
11	0.5517507258
12	0.5408628829
13	0.531818193
14	0.522512327
15	0.5129508301
16	0.5054578998
17	0.4977693652
18	0.4886877462
19	0.4818209252
20	0.4738000778
21	0.4675302023
22	0.458230028
23	0.450191398
24	0.4432558745
25	0.4362729952
26	0.4305558746
27	0.4242472097
28	0.4177219508
29	0.4112124172
30	0.4055060895
31	0.4022752119
32	0.3944427391
33	0.3890043874
34	0.3830216761
35	0.377370138
36	0.3729937829
37	0.3692058069
38	0.3642480616
39	0.3605285265
40	0.3565276325
41	0.3518536346
42	0.3465938887
43	0.3424689228
44	0.3375172091
45	0.3333338081
46	0.3291099538
47	0.325784169
48	0.3223484014
49	0.3187495173
50	0.3150829447
51	0.313388873
52	0.3098791696
53	0.3060006063
54	0.3016706435
55	0.2989163548
56	0.2961690292
57	0.2918573012
58	0.2895856042
59	0.2867239442
60	0.2842687531
61	0.2820694988
62	0.2784280862
63	0.2754340142
64	0.2729098975
65	0.2708688406
66	0.2673049894
67	0.2650917584
68	0.2631971004
69	0.2611521465
70	0.2583851417
71	0.2555707617
72	0.2536756836
73	0.2510322367
74	0.2490899211
75	0.2467011205
76	0.2446573727
77	0.2424880282
78	0.2402736079
79	0.2381202663
80	0.236153175
81	0.2340051045
82	0.2320382938
83	0.2303093622
84	0.2282863667
85	0.2266435365
86	0.225222519
87	0.2237869149
88	0.2220115299
89	0.21998278
90	0.2178876058
91	0.2163032212
92	0.2148194046
93	0.2129933619
94	0.2115317376
95	0.2097013461
96	0.2087601304
97	0.2075252002
98	0.2063318722
99	0.2048521997
100	0.2033523042
101	0.2018259683
102	0.2008759324
103	0.1993849369
104	0.1982502765
105	0.1964198282
106	0.195456133
107	0.194377999
108	0.19379709
109	0.192472602
110	0.1914205944
111	0.1900654271
112	0.1893005071
113	0.1885373959
114	0.1877409727
115	0.1865171854
116	0.1856945194
117	0.1849639909
118	0.1841147955
119	0.1830315767
120	0.182076897
121	0.1809993021
122	0.1802874912
123	0.1794324555
124	0.1786063974
125	0.1778019494
126	0.1771079499
127	0.1762272403
128	0.1751918316
129	0.1742777005
130	0.1732352807
131	0.1723972964
132	0.1714414453
133	0.1707405923
134	0.1700720643
135	0.1692841615
136	0.1682028476
137	0.167814287
138	0.1670935144
139	0.166576146
140	0.1660439816
141	0.1653755543
142	0.1647534868
143	0.1641785426
144	0.1634455196
145	0.1627489762
146	0.1623248401
147	0.1613345662
148	0.1608648881
149	0.1603163657
150	0.1597822457
151	0.1590044173
152	0.1585606962
153	0.1580832123
154	0.1576533487
155	0.1572412731
156	0.1565879048
157	0.1562854277
158	0.1558275887
159	0.1550758154
160	0.1545359465
161	0.1538381201
162	0.1533064095
163	0.1528279885
164	0.1522556372
165	0.1517876853
166	0.1511717843
167	0.1505406548
